Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2014-01-02,769.09849,768.40783,774.26333,750.52516
BTC,2014-01-03,804.02719,769.09849,826.34166,768.15367
BTC,2014-01-04,813.31748,804.02719,839.85833,798.11833
BTC,2014-01-05,871.11583,813.31748,873.98,808.71666
BTC,2014-01-06,970.65083,871.11583,972.00354,861.25831
BTC,2014-01-07,962.46447,970.65083,1023.16666,914.76666
BTC,2014-01-08,855.75933,962.46447,970.22516,788.70166
BTC,2014-01-09,860.84166,855.75933,886.02916,822.32296
BTC,2014-01-10,847.5325,860.84166,880.64166,814.17054
BTC,2014-01-11,892.26115,847.5325,902.035,837.57458
BTC,2014-01-12,916.69666,892.26115,940.495,876.57666
BTC,2014-01-13,873.27168,916.69666,920.71733,857.73833
BTC,2014-01-14,863.69888,873.27168,873.27168,821.00333
BTC,2014-01-15,853.25666,863.69888,871.11385,839.125
BTC,2014-01-16,874.07416,853.25666,888.88519,853.25666
BTC,2014-01-17,842.19173,874.07416,879.62999,841.27916
BTC,2014-01-18,834.86666,842.19173,854.32827,810.22333
BTC,2014-01-19,838.42916,834.86666,850.56666,834.08333
BTC,2014-01-20,881.87583,838.42916,885.16166,834.77499
BTC,2014-01-21,873.28916,881.87583,882.45166,857.84584
BTC,2014-01-22,874.13266,873.28916,876.14065,861.77833
BTC,2014-01-23,864.56116,874.13266,874.13266,854.05916
BTC,2014-01-24,838.14997,864.56116,866.45964,834.99822
BTC,2014-01-25,834.57416,838.14997,838.26,810.64042
BTC,2014-01-26,858.12641,834.57416,876.24165,833.72638
BTC,2014-01-27,887.08337,858.12641,899.2283,851.74833
BTC,2014-01-28,830.53133,887.08337,887.37698,800.03833
BTC,2014-01-29,832.89496,830.53133,860.24269,798.18333
BTC,2014-01-30,832.87399,832.89496,846.92594,832.25583
BTC,2014-01-31,841.48914,832.87399,855.86653,816.05635
BTC,2014-02-01,847.36383,841.48914,852.3975,839.53166
BTC,2014-02-02,854.7225,847.36383,869.4796,843.35344
