patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
Long Beach,Hyannis,Common Eider,Barnstable County,1/1/2019,Died +24hr,,1,2019,2601
3260 Main Street,Brewster,Common Eider,Barnstable County,1/2/2019,Euthanized +24hr,,2,2019,2671
Thumpertown Beach,Eastham,Razorbill,Barnstable County,1/2/2019,Dead on arrival,,3,2019,
5575 State Highway,Eastham,Southern Flying Squirrel,Barnstable County,1/3/2019,Released,,4,2019,2651
5575 State Highway,Eastham,Southern Flying Squirrel,Barnstable County,1/3/2019,Released,,5,2019,2651
5575 State Highway,Eastham,Southern Flying Squirrel,Barnstable County,1/3/2019,Released,,6,2019,2651
5575 State Highway,Eastham,Southern Flying Squirrel,Barnstable County,1/3/2019,Released,,7,2019,2651
5575 State Highway,Eastham,Southern Flying Squirrel,Barnstable County,1/3/2019,Released,,8,2019,2651
Nickerson State Park,Brewster,Common Loon,Barnstable County,1/3/2019,Died +24hr,Entrapment in fishing gear.,9,2019,
Massasoit Road,Eastham,Eastern Screech Owl,Barnstable County,1/3/2019,Dead on arrival,Dead on arrival.,10,2019,2642
Route 6,Provincetown,Great Black-backed Gull,Barnstable County,1/4/2019,Euthanized in 24hr,,11,2019,
Laurence Road,Wellfleet,Common Murre,Barnstable County,1/4/2019,Died +24hr,,12,2019,
Pilgrim Lake,"Orleans, MA",Red-breasted Merganser,Barnstable County,1/5/2019,Euthanized in 24hr,,13,2019,2650
Callahan's Pass,Orleans,Razorbill,Barnstable County,2/27/2019,Died +24hr,,14,2019,
Austin Smith Sanctuary,Eastham,Common Loon,Barnstable County,1/6/2019,Euthanized in 24hr,,15,2019,2642
Coast Guard Beach,Eastham,Atlantic Puffin,Barnstable County,2/27/2019,Died in 24hr,,16,2019,
150 Fisk Street,West Dennis,Herring Gull,Barnstable County,1/7/2019,Died +24hr,,17,2019,2670
Nauset Road,"Eastham, MA",Common Loon,Barnstable County,1/7/2019,Died +24hr,Loon was shot.,18,2019,2642
