Time[GMT],salinity[psu](20m),sigma_t[kg/m^3](20m),conductivity[msiemens/cm](20m),temperature[C](20m)
2020-11-10 22:00,32.164,24.574,36.163,10.97
2020-11-10 23:00,32.316,24.716,36.200,10.83
2020-11-11 00:00,32.331,24.726,36.223,10.84
2020-11-11 01:00,32.404,24.789,36.262,10.80
2020-11-11 02:00,32.447,24.826,36.288,10.78
2020-11-11 03:00,32.439,24.819,36.282,10.79
2020-11-11 04:00,32.439,24.821,36.279,10.78
2020-11-11 05:00,32.285,24.684,36.208,10.88
2020-11-11 06:00,32.428,24.812,36.268,10.78
2020-11-11 07:00,32.401,24.787,36.261,10.81
2020-11-11 08:00,32.370,24.759,36.245,10.82
2020-11-11 09:00,32.348,24.738,36.245,10.85
2020-11-11 10:00,32.335,24.727,36.239,10.86
2020-11-11 11:00,32.063,24.484,36.118,11.03
2020-11-11 12:00,32.243,24.643,36.207,10.92
2020-11-11 13:00,32.341,24.732,36.241,10.85
2020-11-11 14:00,32.364,24.752,36.250,10.84
2020-11-11 15:00,32.430,24.809,36.288,10.80
2020-11-11 16:00,32.481,24.855,36.314,10.77
2020-11-11 17:00,32.414,24.797,36.272,10.80
2020-11-11 18:00,32.249,24.647,36.215,10.93
2020-11-11 19:00,32.358,24.748,36.242,10.83
2020-11-11 20:00,32.352,24.740,36.252,10.85
2020-11-11 21:00,32.402,24.784,36.278,10.83
2020-11-11 22:00,32.203,24.596,36.251,11.02
2020-11-11 23:00,32.251,24.635,36.288,11.01
2020-11-12 00:00,32.274,24.659,36.283,10.97
2020-11-12 01:00,32.294,24.677,36.287,10.96
2020-11-12 02:00,32.351,24.729,36.303,10.91
2020-11-12 03:00,32.287,24.672,36.281,10.96
2020-11-12 04:00,32.447,24.823,36.303,10.80
2020-11-12 05:00,32.480,24.852,36.317,10.78
2020-11-12 06:00,32.269,24.654,36.279,10.98
2020-11-12 07:00,32.276,24.661,36.282,10.97
2020-11-12 08:00,32.265,24.649,36.286,10.99
2020-11-12 09:00,32.300,24.678,36.310,10.98
2020-11-12 10:00,32.351,24.728,36.312,10.92
2020-11-12 11:00,32.331,24.707,36.318,10.95
2020-11-12 12:00,32.338,24.713,36.322,10.95
2020-11-12 13:00,32.318,24.693,36.326,10.97
2020-11-12 14:00,32.357,24.732,36.322,10.92
2020-11-12 15:00,32.481,24.846,36.358,10.82
2020-11-12 16:00,32.472,24.840,36.342,10.82
2020-11-12 17:00,32.487,24.857,36.329,10.79
2020-11-12 18:00,32.430,24.808,36.294,10.81
2020-11-12 19:00,32.357,24.736,36.298,10.90
2020-11-12 20:00,32.332,24.711,36.303,10.93
2020-11-12 21:00,32.356,24.733,36.310,10.91
2020-11-12 22:00,32.393,24.768,36.319,10.88
2020-11-12 23:00,32.366,24.745,36.302,10.89
2020-11-13 00:00,32.462,24.827,36.356,10.84
2020-11-13 01:00,32.449,24.816,36.350,10.85
2020-11-13 02:00,32.438,24.806,36.343,10.86
2020-11-13 03:00,32.366,24.746,36.292,10.88
2020-11-13 04:00,32.398,24.773,36.316,10.87
2020-11-13 05:00,32.449,24.821,36.329,10.83
2020-11-13 06:00,32.428,24.800,36.326,10.85
2020-11-13 07:00,32.285,24.678,36.236,10.91
2020-11-13 08:00,32.288,24.681,36.239,10.91
2020-11-13 09:00,32.316,24.712,36.214,10.85
2020-11-13 10:00,32.377,24.760,36.276,10.85
2020-11-13 11:00,32.404,24.793,36.243,10.78
2020-11-13 12:00,32.457,24.828,36.330,10.82
2020-11-13 13:00,32.471,24.843,36.318,10.79
2020-11-13 14:00,32.461,24.841,36.285,10.76
2020-11-13 15:00,32.439,24.827,36.241,10.74
2020-11-13 16:00,32.462,24.837,36.307,10.79
2020-11-13 17:00,32.353,24.746,36.228,10.82
2020-11-13 18:00,32.242,24.644,36.197,10.92
2020-11-13 19:00,32.374,24.763,36.248,10.82
2020-11-13 20:00,32.264,24.661,36.215,10.91
2020-11-13 21:00,32.311,24.704,36.234,10.88
2020-11-13 22:00,32.350,24.741,36.239,10.84
2020-11-13 23:00,32.333,24.728,36.221,10.84
2020-11-14 00:00,32.372,24.767,36.214,10.79
2020-11-14 01:00,32.432,24.821,36.238,10.75
2020-11-14 02:00,32.463,24.850,36.248,10.72
2020-11-14 03:00,32.412,24.811,36.192,10.72
2020-11-14 04:00,32.372,24.774,36.179,10.75
2020-11-14 05:00,32.265,24.675,36.152,10.84
2020-11-14 06:00,32.329,24.728,36.202,10.82
2020-11-14 07:00,32.281,24.683,36.191,10.86
2020-11-14 08:00,32.309,24.709,36.200,10.84
2020-11-14 09:00,32.232,24.657,36.082,10.80
2020-11-14 10:00,32.245,24.661,36.126,10.83
2020-11-14 11:00,32.326,24.723,36.210,10.83
2020-11-14 12:00,32.314,24.730,36.119,10.74
2020-11-14 13:00,32.267,24.700,36.032,10.70
2020-11-14 14:00,32.294,24.722,36.055,10.70
2020-11-14 15:00,32.274,24.699,36.074,10.74
2020-11-14 16:00,32.317,24.732,36.121,10.74
2020-11-14 17:00,32.377,24.786,36.142,10.70
2020-11-14 18:00,32.329,24.747,36.108,10.71
2020-11-14 19:00,32.318,24.731,36.134,10.76
2020-11-14 20:00,32.355,24.764,36.149,10.73
2020-11-14 21:00,32.312,24.722,36.148,10.78
2020-11-14 22:00,32.306,24.717,36.147,10.78
2020-11-14 23:00,32.369,24.770,36.187,10.76
2020-11-15 00:00,32.227,24.662,36.032,10.75
2020-11-15 01:00,31.993,24.504,35.670,10.60
2020-11-15 02:00,32.193,24.659,35.876,10.61
2020-11-15 03:00,32.107,24.591,35.795,10.61
2020-11-15 04:00,32.199,24.659,35.907,10.64
2020-11-15 05:00,32.373,24.790,36.099,10.66
2020-11-15 06:00,32.373,24.789,36.106,10.66
2020-11-15 07:00,32.303,24.740,36.010,10.63
2020-11-15 08:00,32.370,24.791,36.084,10.64
2020-11-15 09:00,32.287,24.718,36.045,10.69
2020-11-15 10:00,32.220,24.663,35.992,10.71
2020-11-15 11:00,32.235,24.678,35.989,10.69
2020-11-15 12:00,32.112,24.599,35.777,10.59
2020-11-15 13:00,31.944,24.510,35.396,10.35
2020-11-15 14:00,32.093,24.614,35.607,10.42
2020-11-15 15:00,32.143,24.651,35.667,10.43
2020-11-15 16:00,32.212,24.698,35.772,10.47
2020-11-15 17:00,32.312,24.769,35.902,10.50
2020-11-15 18:00,32.370,24.819,35.937,10.48
2020-11-15 19:00,32.337,24.782,35.961,10.54
2020-11-15 20:00,32.416,24.840,36.061,10.56
2020-11-15 21:00,32.110,24.563,35.954,10.79
2020-11-15 22:00,32.070,24.549,35.824,10.69
2020-11-15 23:00,32.272,24.697,36.071,10.74
2020-11-16 00:00,32.178,24.627,35.965,10.73
2020-11-16 01:00,31.902,24.458,35.451,10.46
2020-11-16 02:00,32.084,24.586,35.703,10.54
2020-11-16 03:00,32.164,24.647,35.788,10.54
2020-11-16 04:00,31.978,24.509,35.568,10.50
2020-11-16 05:00,32.147,24.641,35.739,10.50
2020-11-16 06:00,32.250,24.724,35.826,10.49
2020-11-16 07:00,32.093,24.603,35.665,10.48
2020-11-16 08:00,32.441,24.861,36.079,10.56
2020-11-16 09:00,32.360,24.789,36.043,10.61
2020-11-16 10:00,32.208,24.674,35.869,10.58
2020-11-16 11:00,32.217,24.681,35.884,10.59
2020-11-16 12:00,32.222,24.684,35.888,10.59
2020-11-16 13:00,32.208,24.688,35.802,10.51
2020-11-16 14:00,32.218,24.699,35.792,10.48
2020-11-16 15:00,32.264,24.729,35.871,10.52
2020-11-16 16:00,32.263,24.732,35.852,10.50
2020-11-16 17:00,32.215,24.696,35.792,10.49
2020-11-16 18:00,32.336,24.795,35.891,10.46
2020-11-16 19:00,32.289,24.754,35.869,10.49
2020-11-16 20:00,32.347,24.799,35.926,10.49
2020-11-16 21:00,32.328,24.777,35.945,10.53
2020-11-16 22:00,32.309,24.761,35.931,10.54
2020-11-16 23:00,32.281,24.738,35.909,10.55
2020-11-17 00:00,32.244,24.709,35.878,10.55
2020-11-17 01:00,32.129,24.623,35.743,10.53
2020-11-17 02:00,32.162,24.651,35.760,10.51
2020-11-17 03:00,32.182,24.678,35.723,10.45
2020-11-17 04:00,32.264,24.741,35.809,10.45
2020-11-17 05:00,32.332,24.795,35.872,10.45
2020-11-17 06:00,32.235,24.719,35.778,10.45
2020-11-17 07:00,32.350,24.811,35.880,10.43
2020-11-17 08:00,32.353,24.801,35.948,10.51
2020-11-17 09:00,32.400,24.842,35.973,10.48
2020-11-17 10:00,32.397,24.831,36.009,10.53
2020-11-17 11:00,32.146,24.653,35.669,10.43
2020-11-17 12:00,32.184,24.679,35.726,10.45
2020-11-17 13:00,32.106,24.634,35.564,10.35
2020-11-17 14:00,32.224,24.718,35.723,10.40
2020-11-17 15:00,32.324,24.792,35.848,10.43
2020-11-17 16:00,32.340,24.815,35.811,10.37
2020-11-17 17:00,32.334,24.814,35.781,10.34
2020-11-17 18:00,32.311,24.794,35.770,10.35
2020-11-17 19:00,32.265,24.757,35.731,10.36
2020-11-17 20:00,32.357,24.829,35.822,10.36
2020-11-17 21:00,32.371,24.821,35.932,10.47
2020-11-17 22:00,32.350,24.809,35.888,10.44
2020-11-17 23:00,32.343,24.797,35.913,10.48
2020-11-18 00:00,32.328,24.787,35.888,10.47
2020-11-18 01:00,32.131,24.661,35.552,10.31
2020-11-18 02:00,32.253,24.748,35.714,10.36
2020-11-18 03:00,32.245,24.752,35.652,10.30
2020-11-18 04:00,32.358,24.828,35.833,10.37
2020-11-18 05:00,32.336,24.815,35.785,10.34
2020-11-18 06:00,32.369,24.846,35.792,10.31
2020-11-18 07:00,32.283,24.787,35.660,10.26
2020-11-18 08:00,32.292,24.789,35.700,10.30
2020-11-18 09:00,32.339,24.820,35.774,10.33
2020-11-18 10:00,32.299,24.786,35.753,10.35
2020-11-18 11:00,32.245,24.754,35.643,10.29
2020-11-18 12:00,32.274,24.770,35.709,10.33
2020-11-18 13:00,32.233,24.756,35.573,10.22
2020-11-18 14:00,32.297,24.799,35.669,10.26
2020-11-18 15:00,32.381,24.864,35.757,10.26
2020-11-18 16:00,32.378,24.864,35.739,10.25
2020-11-18 17:00,32.366,24.862,35.694,10.21
2020-11-18 18:00,32.375,24.873,35.681,10.18
2020-11-18 19:00,32.399,24.890,35.711,10.19
2020-11-18 20:00,32.308,24.819,35.622,10.19
2020-11-18 21:00,32.365,24.856,35.719,10.24
2020-11-18 22:00,32.288,24.797,35.634,10.23
2020-11-18 23:00,32.251,24.765,35.615,10.25
2020-11-19 00:00,32.256,24.777,35.579,10.20
2020-11-19 01:00,32.268,24.783,35.606,10.22
2020-11-19 02:00,32.275,24.795,35.579,10.18
2020-11-19 03:00,32.331,24.837,35.645,10.19
2020-11-19 04:00,32.341,24.861,35.567,10.09
2020-11-19 05:00,32.397,24.901,35.645,10.12
2020-11-19 06:00,32.367,24.889,35.555,10.05
2020-11-19 07:00,32.382,24.902,35.563,10.04
2020-11-19 08:00,32.313,24.845,35.510,10.06
2020-11-19 09:00,32.304,24.838,35.501,10.06
2020-11-19 10:00,32.359,24.882,35.549,10.05
2020-11-19 11:00,32.247,24.801,35.407,10.02
