No	County	Population	DATA_AS_OF_DT	cases	deaths	hospitalizations
1	Cumberland	292307	1/27/2021	10993	151	368
2	York	204316	1/27/2021	8259	97	280
3	Penobscot	151774	1/27/2021	3332	58	164
4	Kennebec	121753	1/27/2021	3022	42	106
5	Androscoggin	107602	1/27/2021	4208	52	139
6	Aroostook	67809	1/27/2021	1115	35	56
7	Oxford	57550	1/27/2021	1863	34	53
8	Hancock	54601	1/27/2021	766	30	37
9	Somerset	50520	1/27/2021	1066	25	51
10	Knox	39759	1/27/2021	572	4	18
11	Waldo	39539	1/27/2021	505	18	23
12	Sagadahoc	35452	1/27/2021	753	1	16
13	Lincoln	34201	1/27/2021	462	2	15
14	Washington	31491	1/27/2021	603	9	22
15	Franklin	29982	1/27/2021	740	8	16
16	Piscataquis	16836	1/27/2021	194	1	11
