FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
0,1331,ATHOL,2515,"ATHOL, TOWN OF",WORCESTER,58.08486951
1,2769,REHOBOTH,56340,"REHOBOTH, TOWN OF",BRISTOL,47.36336756
2,1085,WESTFIELD,76030,WESTFIELD,HAMPDEN,55.93892848
3,1370,SHELBURNE FALLS,61205,"SHELBURNE, TOWN OF",FRANKLIN,48.80405713
4,1235,HINSDALE,30280,"HINSDALE, TOWN OF",BERKSHIRE,47.75705167
5,2747,NORTH DARTMOUTH,47450,"DARTMOUTH, TOWN OF",BRISTOL,47.49541385
6,2360,PLYMOUTH,54275,"PLYMOUTH, TOWN OF",PLYMOUTH,103.1403089
7,1267,WILLIAMSTOWN,79950,"WILLIAMSTOWN, TOWN OF",BERKSHIRE,55.22803318
8,1008,BLANDFORD,6050,"BLANDFORD, TOWN OF",HAMPDEN,54.0591453
9,1002,AMHERST,1290,"AMHERST, TOWN OF",HAMPSHIRE,53.72931708
10,1255,SANDISFIELD,59630,"SANDISFIELD, TOWN OF",BERKSHIRE,50.85483654
11,1247,NORTH ADAMS,46225,NORTH ADAMS,BERKSHIRE,47.15753286
12,1230,GREAT BARRINGTON,26780,"GREAT BARRINGTON, TOWN OF",BERKSHIRE,96.72656896
13,1256,SAVOY,60190,"SAVOY, TOWN OF",BERKSHIRE,36.10955991
14,2770,ROCHESTER,57565,"ROCHESTER, TOWN OF",PLYMOUTH,35.66284753
15,1223,BECKET,4510,"BECKET, TOWN OF",BERKSHIRE,86.59125138
16,1360,NORTHFIELD,47800,"NORTHFIELD, TOWN OF",FRANKLIN,35.35349044
17,1337,BERNARDSTON,5525,"BERNARDSTON, TOWN OF",FRANKLIN,35.34412667
18,1034,GRANVILLE,26640,"TOLLAND, TOWN OF",HAMPDEN,72.35022566
19,2346,MIDDLEBORO,40780,"MIDDLEBOROUGH, TOWN OF",PLYMOUTH,72.14780071
20,1366,PETERSHAM,53085,"PETERSHAM, TOWN OF",WORCESTER,62.65331762
21,1201,PITTSFIELD,53960,PITTSFIELD,BERKSHIRE,61.94892049
22,1339,CHARLEMONT,12470,"CHARLEMONT, TOWN OF",FRANKLIN,59.02825958
23,1340,COLRAIN,14850,"COLRAIN, TOWN OF",FRANKLIN,58.54743839
24,2790,WESTPORT,77570,"WESTPORT, TOWN OF",BRISTOL,56.30997046
25,1007,BELCHERTOWN,4790,"BELCHERTOWN, TOWN OF",HAMPSHIRE,55.29290537
26,1237,LANESBOROUGH,34330,"LANESBOROUGH, TOWN OF",BERKSHIRE,50.76702371
27,1541,PRINCETON,55360,"PRINCETON, TOWN OF",WORCESTER,37.64220073
28,2035,FOXBORO,24750,"FOXBOROUGH, TOWN OF",NORFOLK,20.84156821
29,1473,WESTMINSTER,76975,"WESTMINSTER, TOWN OF",WORCESTER,36.87329445
30,2554,NANTUCKET,43755,"NANTUCKET, TOWN OF",NANTUCKET,36.79770817
31,1543,RUTLAND,58790,"RUTLAND, TOWN OF",WORCESTER,36.22895399
32,1010,BRIMFIELD,8435,"BRIMFIELD, TOWN OF",HAMPDEN,35.26669551
33,2780,TAUNTON,69170,TAUNTON,BRISTOL,34.30855899
34,1057,MONSON,42110,"MONSON, TOWN OF",HAMPDEN,44.79717618
35,1005,BARRE,3705,"BARRE, TOWN OF",WORCESTER,44.66496308
36,1475,WINCHENDON,80370,"WINCHENDON, TOWN OF",WORCESTER,44.33294497
37,1507,CHARLTON,12680,"CHARLTON, TOWN OF",WORCESTER,43.99834318
38,1740,BOLTON,6330,"BOLTON, TOWN OF",WORCESTER,20.69450858
39,1550,SOUTHBRIDGE,63305,"SOUTHBRIDGE, TOWN OF",WORCESTER,20.65779621
40,1452,HUBBARDSTON,31400,"HUBBARDSTON, TOWN OF",WORCESTER,42.29649963
41,1368,ROYALSTON,58545,"ROYALSTON, TOWN OF",WORCESTER,42.25951
42,1562,SPENCER,66070,"SPENCER, TOWN OF",WORCESTER,34.01579381
43,1752,MARLBOROUGH,38715,MARLBOROUGH,MIDDLESEX,22.05541144
44,1027,EASTHAMPTON,19330,EASTHAMPTON,HAMPSHIRE,41.3162153
45,1341,CONWAY,15165,"CONWAY, TOWN OF",FRANKLIN,34.08553818
46,1590,SUTTON,68575,"SUTTON, TOWN OF",WORCESTER,34.01245536
47,1096,WILLIAMSBURG,79880,"GOSHEN, TOWN OF",HAMPSHIRE,33.4528849
48,1450,GROTON,27445,"GROTON, TOWN OF",MIDDLESEX,33.31877202
49,1026,CUMMINGTON,16005,"CUMMINGTON, TOWN OF",HAMPSHIRE,26.65912327
50,2535,CHILMARK,13765,"CHILMARK, TOWN OF",DUKES,26.1158379
51,1266,WEST STOCKBRIDGE,77955,"WEST STOCKBRIDGE, TOWN OF",BERKSHIRE,25.8627596
52,1742,CONCORD,15025,"CONCORD, TOWN OF",MIDDLESEX,25.6396045
53,1259,SOUTHFIELD,63830,"NEW MARLBOROUGH, TOWN OF",BERKSHIRE,25.27478424
54,1082,WARE,72845,"WARE, TOWN OF",HAMPSHIRE,40.01120361
55,2568,VINEYARD HAVEN,71970,"OAK BLUFFS, TOWN OF",DUKES,39.82787813
