Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,371,Breaking leaf buds,1,2015,124,2457147,-9999,3,-9999,1,2015,128,2457151,-9999,5,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,467,Increasing leaf size,1,2015,128,2457151,-9999,4,-9999,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,471,Falling leaves,1,2015,299,2457322,-9999,6,-9999,1,2015,321,2457344,-9999,12,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,483,Leaves,1,2015,128,2457151,-9999,4,-9999,1,2015,314,2457337,-9999,7,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,498,Colored leaves,1,2015,244,2457267,-9999,15,-9999,1,2015,314,2457337,-9999,7,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,500,Flowers or flower buds,1,2015,105,2457128,-9999,2,-9999,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,501,Open flowers,1,2015,121,2457144,-9999,15,-9999,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,11,Cornus,canadensis,bunchberry dogwood,Plantae,482,Initial growth (forbs),1,2015,128,2457151,-9999,4,-9999,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,11,Cornus,canadensis,bunchberry dogwood,Plantae,488,Leaves (forbs),1,2015,150,2457173,-9999,17,-9999,1,2015,314,2457337,-9999,7,-9999
2,43.08535,-70.69133,12,ME,17,Fragaria,virginiana,Virginia strawberry,Plantae,482,Initial growth (forbs),1,2015,105,2457128,-9999,2,-9999,1,2015,106,2457129,-9999,15,-9999
2,43.08535,-70.69133,12,ME,17,Fragaria,virginiana,Virginia strawberry,Plantae,488,Leaves (forbs),2,2015,121,2457144,0,15,0,2,2015,281,2457304,52,15,0
2,43.08535,-70.69133,12,ME,17,Fragaria,virginiana,Virginia strawberry,Plantae,500,Flowers or flower buds,2,2015,126,2457149,2,3.5,0.5,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,17,Fragaria,virginiana,Virginia strawberry,Plantae,501,Open flowers,1,2015,133,2457156,-9999,5,-9999,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,17,Fragaria,virginiana,Virginia strawberry,Plantae,516,Fruits,1,2015,150,2457173,-9999,17,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
2,43.08535,-70.69133,12,ME,26,Podophyllum,peltatum,mayapple,Plantae,482,Initial growth (forbs),1,2015,121,2457144,-9999,15,-9999,1,2015,121,2457144,-9999,3,-9999
2,43.08535,-70.69133,12,ME,26,Podophyllum,peltatum,mayapple,Plantae,488,Leaves (forbs),1,2015,121,2457144,-9999,15,-9999,1,2015,204,2457227,-9999,25,-9999
2,43.08535,-70.69133,12,ME,26,Podophyllum,peltatum,mayapple,Plantae,500,Flowers or flower buds,1,2015,121,2457144,-9999,15,-9999,1,2015,150,2457173,-9999,21,-9999
2,43.08535,-70.69133,12,ME,26,Podophyllum,peltatum,mayapple,Plantae,501,Open flowers,1,2015,150,2457173,-9999,17,-9999,1,2015,150,2457173,-9999,21,-9999
2,43.08535,-70.69133,12,ME,26,Podophyllum,peltatum,mayapple,Plantae,516,Fruits,1,2015,171,2457194,-9999,21,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,371,Breaking leaf buds,1,2015,121,2457144,-9999,15,-9999,1,2015,128,2457151,-9999,5,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,467,Increasing leaf size,1,2015,121,2457144,-9999,15,-9999,1,2015,133,2457156,-9999,17,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,471,Falling leaves,1,2015,293,2457316,-9999,18,-9999,1,2015,314,2457337,-9999,7,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,483,Leaves,1,2015,121,2457144,-9999,15,-9999,1,2015,308,2457331,-9999,6,-9999
2,43.08535,-70.69133,12,ME,28,Prunus,serotina,black cherry,Plantae,498,Colored leaves,1,2015,244,2457267,-9999,15,-9999,1,2015,308,2457331,-9999,6,-9999
