month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202101,delaware,de,358050,0.0258,0.1002,1582,-0.1558,-0.5609,91,0.1974,-0.1651,744,0.1205,-0.2619,224,0.12,0.1667,196,-0.2344,-0.6621,2477,-0.1241,6.372,170.3703704,0.0405,0.1105,1935,-0.0036,-0.0133,488354,0.0395,0.1432,4059,-0.1368,0.0305,1.5657,0.0567,1.4725
202101,idaho,id,465040,0.0816,0.2433,1817,-0.1881,-0.6908,66,0.1786,-0.2189,1236,-0.0608,-0.4069,112,-0.3,-0.3778,224,-0.4563,-0.7533,3737,-0.0755,4.885,237.755102,0.0752,0.3703,2108,0.0275,-0.0427,977816,0.157,0.6033,5554,-0.1156,-0.1471,2.0567,0.2506,1.9486
202101,arizona,az,419050,0.0771,0.1403,8212,-0.1487,-0.5687,46,0,-0.3429,6944,0.11,-0.2603,928,0.3488,0.0357,1940,-0.2422,-0.6836,13979,-0.1116,0.1949,213.9208174,0.0459,0.192,2037,0.0374,-0.0405,758396,0.1329,0.2679,22191,-0.1257,-0.278,1.7023,0.071,1.0878
202101,north dakota,nd,235050,-0.0053,0.0444,1992,-0.1487,-0.2949,92,0.0514,-0.128,580,0.2609,-0.1049,8,-0.6,-0.6667,276,-0.1154,-0.25,740,-0.083,0.6444,114.8148148,0.0022,0.042,2064,-0.0082,-0.0105,281329,0.0055,0.0382,2732,-0.1319,-0.1658,0.3715,0.0266,0.2122
202101,maryland,md,349050,0.0205,0.0579,6885,-0.1406,-0.5358,59,0.0926,-0.2716,4668,0.0937,-0.1482,524,0.1197,0.4396,1468,-0.2091,-0.5728,10447,-0.128,3.8076,186.3491423,0.0163,0.1279,1678,-0.0256,-0.0927,521490,0.0423,0.125,17332,-0.133,0.0193,1.5174,0.0219,1.3708
202101,oregon,or,485050,0.0244,0.1426,4664,-0.1707,-0.576,62,0.042,-0.2619,3544,0.1845,-0.1634,308,-0.8444,-0.0723,816,-0.6389,-0.6566,7846,-0.1226,0.314,259.2165899,0.041,0.1936,1898,-0.0133,-0.0412,721388,0.1219,0.2783,12510,-0.1412,-0.2628,1.6822,0.0923,1.1394
202101,minnesota,mn,299950,0.0168,0.0578,8463,-0.18,-0.4283,73,0.168,-0.1934,4144,0.1236,-0.0983,524,1.2586,1.7292,1080,-0.313,-0.5135,6992,-0.1605,0.3737,167.0987509,0.041,0.1474,1852,-0.0102,-0.0582,413500,0.045,0.1019,15455,-0.1713,-0.2231,0.8262,0.0192,0.4824
202101,indiana,in,199950,-0.0098,0.0526,7945,-0.131,-0.5029,64,0.1532,-0.2381,3888,-0.0102,-0.2708,236,0.5526,0.2826,2036,-0.1387,-0.5326,5318,-0.1409,0.2322,108.4644601,0.0114,0.1249,1796,-0.0154,-0.056,282138,0.0172,0.0578,13263,-0.135,-0.3466,0.6694,-0.0077,0.3993
202101,district of columbia,dc,595050,-0.0198,-0.1377,1469,-0.1399,0.2513,58,0.1154,-0.0333,808,0.3032,0.0919,24,1,2,296,-0.1084,0.1385,945,-0.1017,2.9873,589.0127389,0.0126,0.1722,1028,-0.0247,-0.2586,993257,0.0449,-0.0403,2414,-0.1254,0.7108,0.6433,0.0274,0.4414
202101,oklahoma,ok,219950,-2.00E-04,0.0422,6617,-0.1338,-0.4878,66,0.1,-0.1484,3128,0.15,-0.2581,292,0.4314,0.3519,1284,-0.0559,-0.4961,6248,-0.0768,1.9237,112.0283019,0.0056,0.0594,1868,-0.0088,-0.0268,328716,0.0411,0.1575,12865,-0.107,-0.1455,0.9442,0.0583,0.7788
202101,wisconsin,wi,259950,0.0398,0.072,7672,-0.1805,-0.5017,80,0.2214,-0.204,3260,0.1257,-0.197,188,1.35,1.7647,940,-0.3305,-0.5833,5318,-0.1549,0.2073,145.471464,0.0695,0.1076,1700,0.0113,-0.0368,367693,0.0448,0.1246,12990,-0.1702,-0.3439,0.6932,0.021,0.407
