Date,Patient_County,Case_Status,Total_Cases,Completed_Isolations,Deaths,Hospitalizations,Population_2018
2021-04-03,Androscoggin,Confirmed,32,0,0,1,107679
2021-04-03,Androscoggin,Probable,24,0,0,0,107679
2021-04-03,Aroostook,Confirmed,9,0,0,0,67111
2021-04-03,Aroostook,Probable,1,0,0,0,67111
2021-04-03,Cumberland,Confirmed,29,0,0,0,293557
2021-04-03,Cumberland,Probable,27,0,0,0,293557
2021-04-03,Franklin,Confirmed,2,0,0,0,29897
2021-04-03,Franklin,Probable,0,0,0,0,29897
2021-04-03,Hancock,Confirmed,7,0,0,0,54811
2021-04-03,Hancock,Probable,2,0,0,0,54811
2021-04-03,Kennebec,Confirmed,9,0,0,0,122083
2021-04-03,Kennebec,Probable,28,0,0,0,122083
2021-04-03,Knox,Confirmed,0,0,0,0,39771
2021-04-03,Knox,Probable,0,0,0,0,39771
2021-04-03,Lincoln,Confirmed,5,0,0,0,34342
2021-04-03,Lincoln,Probable,0,0,0,0,34342
2021-04-03,Oxford,Confirmed,20,0,0,0,57618
2021-04-03,Oxford,Probable,6,0,0,0,57618
2021-04-03,Penobscot,Confirmed,11,0,0,0,151096
2021-04-03,Penobscot,Probable,8,0,0,0,151096
2021-04-03,Piscataquis,Confirmed,1,0,0,0,16800
2021-04-03,Piscataquis,Probable,0,0,0,0,16800
2021-04-03,Sagadahoc,Confirmed,12,0,0,0,35634
2021-04-03,Sagadahoc,Probable,0,0,0,0,35634
2021-04-03,Somerset,Confirmed,1,0,0,0,50592
2021-04-03,Somerset,Probable,7,0,0,0,50592
2021-04-03,Waldo,Confirmed,1,0,0,0,39694
2021-04-03,Waldo,Probable,0,0,0,0,39694
2021-04-03,Washington,Confirmed,1,0,0,0,31490
2021-04-03,Washington,Probable,4,0,0,0,31490
2021-04-03,York,Confirmed,34,0,0,0,206229
2021-04-03,York,Probable,14,0,0,0,206229
2021-04-02,Androscoggin,Confirmed,20,0,0,1,107679
2021-04-02,Androscoggin,Probable,8,0,0,0,107679
2021-04-02,Aroostook,Confirmed,3,0,0,0,67111
2021-04-02,Aroostook,Probable,2,0,0,0,67111
2021-04-02,Cumberland,Confirmed,33,0,0,1,293557
2021-04-02,Cumberland,Probable,19,0,0,0,293557
2021-04-02,Franklin,Confirmed,3,0,0,0,29897
2021-04-02,Franklin,Probable,0,0,0,0,29897
2021-04-02,Hancock,Confirmed,3,0,0,0,54811
2021-04-02,Hancock,Probable,1,0,0,1,54811
2021-04-02,Kennebec,Confirmed,12,0,0,0,122083
2021-04-02,Kennebec,Probable,14,0,0,0,122083
2021-04-02,Knox,Confirmed,3,0,0,0,39771
2021-04-02,Knox,Probable,0,0,0,0,39771
2021-04-02,Lincoln,Confirmed,7,0,0,0,34342
2021-04-02,Lincoln,Probable,0,0,0,0,34342
2021-04-02,Oxford,Confirmed,7,0,0,0,57618
2021-04-02,Oxford,Probable,3,0,0,0,57618
2021-04-02,Penobscot,Confirmed,23,0,0,0,151096
2021-04-02,Penobscot,Probable,7,0,0,0,151096
2021-04-02,Piscataquis,Confirmed,0,0,0,0,16800
2021-04-02,Piscataquis,Probable,0,0,0,0,16800
2021-04-02,Sagadahoc,Confirmed,6,0,0,0,35634
2021-04-02,Sagadahoc,Probable,0,0,0,0,35634
2021-04-02,Somerset,Confirmed,9,0,0,0,50592
2021-04-02,Somerset,Probable,3,0,0,0,50592
2021-04-02,Waldo,Confirmed,1,0,0,0,39694
2021-04-02,Waldo,Probable,0,0,0,0,39694
2021-04-02,Washington,Confirmed,2,0,0,1,31490
2021-04-02,Washington,Probable,5,0,0,0,31490
2021-04-02,York,Confirmed,55,0,0,0,206229
2021-04-02,York,Probable,31,0,0,0,206229
2021-04-01,Androscoggin,Confirmed,48,0,0,1,107679
2021-04-01,Androscoggin,Probable,29,0,0,0,107679
2021-04-01,Aroostook,Confirmed,10,0,0,1,67111
2021-04-01,Aroostook,Probable,3,0,0,0,67111
2021-04-01,Cumberland,Confirmed,39,0,0,2,293557
2021-04-01,Cumberland,Probable,22,0,0,0,293557
2021-04-01,Franklin,Confirmed,4,0,0,0,29897
2021-04-01,Franklin,Probable,2,0,0,0,29897
2021-04-01,Hancock,Confirmed,6,0,0,0,54811
2021-04-01,Hancock,Probable,6,0,0,0,54811
2021-04-01,Kennebec,Confirmed,25,0,0,1,122083
2021-04-01,Kennebec,Probable,22,0,0,0,122083
2021-04-01,Knox,Confirmed,6,0,0,0,39771
2021-04-01,Knox,Probable,1,0,0,0,39771
2021-04-01,Lincoln,Confirmed,5,0,0,0,34342
2021-04-01,Lincoln,Probable,2,0,0,0,34342
2021-04-01,Oxford,Confirmed,26,0,0,1,57618
2021-04-01,Oxford,Probable,15,0,0,0,57618
2021-04-01,Penobscot,Confirmed,12,0,0,0,151096
2021-04-01,Penobscot,Probable,14,0,0,0,151096
2021-04-01,Piscataquis,Confirmed,0,0,0,0,16800
2021-04-01,Piscataquis,Probable,0,0,0,0,16800
2021-04-01,Sagadahoc,Confirmed,5,0,0,0,35634
2021-04-01,Sagadahoc,Probable,2,0,0,0,35634
