practice,variable,Unit
Pesticide Use,Planted acres,"1,000 Acres"
Pesticide Use,Acres treated with any pesticide,percent of planted acres
Pesticide Use,Number of treatments with any pesticide,Number
Pesticide Use,Treatment rate with any pesticide,Pounds a.i. per treated acre
Pesticide Use,Acres treated with insecticide,percent of planted acres
Pesticide Use,Number of treatments with insecticide,Number
Pesticide Use,Treatment rate with insecticide,Pounds a.i. per treated acre
Pesticide Use,Acres treated with herbicide,percent of planted acres
Pesticide Use,Number of treatments with herbicide,Number
Pesticide Use,Treatment rate with herbicide,Pounds a.i. per treated acre
Pesticide Use,Acres treated with fungicide,percent of planted acres
Pesticide Use,Number of treatments with fungicide,Number
Pesticide Use,Treatment rate with fungicide,Pounds a.i. per treated acre
Pesticide Use,Number of treatments with other pesticide,Number
Pesticide Use,Acres treated with other pesticide,percent of planted acres
Pesticide Use,Treatment rate with other pesticide,Pounds a.i. per treated acre
Crop Residue Management Practices,Planted acres,"1,000 Acres"
Crop Residue Management Practices,Residue remaining after planting,Percent
Crop Residue Management Practices,Number of tillage operations,Number
Crop Residue Management Practices,Cultivated for weed control,percent of planted acres
Irrigation Technology and Water Use,Planted acres,"1,000 Acres"
Irrigation Technology and Water Use,Irrigated acres,"1,000 Acres"
Irrigation Technology and Water Use,Surface water source,Percent of irrigated acres
Irrigation Technology and Water Use,Ground water source,Percent of irrigated acres
Irrigation Technology and Water Use,Crop yield per irrigated acre,"Pounds(cotton), Bushels(all other crops)"
Irrigation Technology and Water Use,Water applied per irrigated acre,Inches
Seed Use,Planted acres,"1,000 Acres"
Seed Use,Average seeding rate,Kernels(corn 2001 and earlier) or pounds(all other crops) per acre
Seed Use,Average row width,Inches
Seed Use,Non-Genetically Modified Herbicide Resistant Seed Used,percent of planted acres
Seed Use,BT insecticide resistant seed,percent of planted acres
Seed Use,GMO herbicide resistant seed,percent of planted acres
Weed Control Management Practice,Planted acres,"1,000 Acres"
Weed Control Management Practice,Field scouted for weeds,percent of planted acres
Weed Control Management Practice,Acres treated with herbicide,percent of planted acres
Weed Control Management Practice,Number of treatments with herbicide,Number
Weed Control Management Practice,Treatment rate with herbicide,Pounds a.i. per treated acre
Weed Control Management Practice,Burn down herbicide used,Percent of treated acres
Insect Control Management Practice,Planted acres,"1,000 Acres"
Insect Control Management Practice,Field scouted for insects,percent of planted acres
Insect Control Management Practice,Acres treated with insecticide,percent of planted acres
Insect Control Management Practice,Number of treatments with insecticide,Number
Insect Control Management Practice,Treatment rate with insecticide,Pounds a.i. per treated acre
Selected Pest Management Practice,Planted acres,"1,000 Acres"
Selected Pest Management Practice,Protection of beneficial insects a factor in pesticide decisions,percent of planted acres
Selected Pest Management Practice,Apply/release beneficial organisms to control pests,percent of planted acres
Selected Pest Management Practice,Water management practices to control pests,percent of planted acres
Selected Pest Management Practice,"Tilling, chopping, mowing, burning to control pests",percent of planted acres
Selected Pest Management Practice,Clean equipment to reduce spread of pests,percent of planted acres
Selected Pest Management Practice,Cultivated field for weed control,percent of planted acres
Selected Pest Management Practice,Adjust plant/harvest date to control pests,percent of planted acres
Selected Pest Management Practice,Soil analysis to detect pests,percent of planted acres
Selected Pest Management Practice,Alternate pesticides to prevent pest resistance,percent of planted acres
Selected Pest Management Practice,Adjust row spacing/plant density for pest control,percent of planted acres
Selected Pest Management Practice,Biological pest controls used ,percent of planted acres
Selected Pest Management Practice,Ground covers used,percent of planted acres
Selected Pest Management Practice,Trap crops used,percent of planted acres
Selected Pest Management Practice,Diagnostic lab used for pest ID,percent of planted acres
Selected Pest Management Practice,Buffer strips or other physical barriers used,percent of planted acres
Conservation Practices,Planted acres,"1,000 Acres"
Conservation Practices,Conservation program participation (cost-share/incentive received),percent of planted acres
Conservation Practices,Cost-share or incentive from EQIP,percent of acres receiving payments
Conservation Practices,Cost-share or incentive from CSP,percent of acres receiving payments
Conservation Practices,Cost-share or incentive from CRP,percent of acres receiving payments
Conservation Practices,Cost-share or incentive received from other programs,percent of acres receiving payments
Conservation Practices,Written conservation plan for soil erosion,percent of planted acres
Conservation Practices,Cost-share or incentive received (erosion plan),percent of acres w/ erosion plan
Conservation Practices,Soil erosion controls used,percent of planted acres
Conservation Practices,Cost-share or incentive received (erosion controls),percent of acres w/ soil erosion controls
Conservation Practices,Written conservation plan for nutrient management,percent of planted acres
Conservation Practices,Cost-share or incentive received (nutrient plan),percent of acres w/ nutrient plan
Conservation Practices,Conservation buffers used,percent of planted acres
Conservation Practices,Cost-share or incentive received for conservation buffers,percent of acres w/ conservation buffers
Conservation Practices,Written conservation plan for pest management,percent of planted acres
Conservation Practices,Cost-share or incentive received (pest plan),percent of acres w/ pest mgmt plan
Conservation Practices,Written conservation plan for irrigation management,percent of planted acres
Conservation Practices,Cost-share or incentive received (irrigation plan),percent of acres w/ water mgmt plan
Conservation Practices,Water control structures used,percent of planted acres
Conservation Practices,Cost-share or incentive received (water control structures),percent of acres w/ water control structures
Conservation Practices,Other conservation practices used,percent of planted acres
Conservation Practices,Cost-share or incentive received (other conservation practices),percent of acres w/ other conservation practices
Conservation Practices,Received technical assistance for conservation practices,percent of planted acres
