Team,Tournament,Goals,Shots pg,Discipline,Possession_Percent,Pass_percent,AerialsWon,Rating
Manchester City,Premier League,46,15.4,250,61.2,88.9,13.9,7.03
Aston Villa,Premier League,36,14.3,362,49.5,78.3,20.2,6.96
Bayern Munich,Bundesliga,61,16.3,281,59,85.5,13.1,6.93
Paris Saint-Germain,Ligue 1,57,15.4,465,60.1,89.4,9.6,6.91
Barcelona,LaLiga,49,16,401,61.6,89.3,10.5,6.88
Atletico Madrid,LaLiga,45,11.2,580,52.3,82.9,15,6.87
Real Madrid,LaLiga,41,13.5,381,58,87.9,11.3,6.86
Juventus,Serie A,41,15.4,455,56.8,88.9,11.9,6.86
Manchester United,Premier League,50,14.3,381,54.6,84.7,15.5,6.85
AC Milan,Serie A,45,15.1,522,50.9,83.1,16.9,6.85
Lyon,Ligue 1,51,16.8,435,54.5,85.6,14,6.85
 Chelsea,Premier League,40,14.1,331,58.9,86.9,16,6.84
Leicester,Premier League,42,12.1,440,51.8,81.3,15.6,6.83
Wolfsburg,Bundesliga,32,13.6,321,50.7,77.6,17.4,6.82
Borussia Dortmund,Bundesliga,41,15.1,310,59.3,85.5,13.9,6.82
Atalanta,Serie A,49,16,430,53.5,83.3,17.4,6.82
Lille,Ligue 1,42,12.9,451,52.5,83.3,16.8,6.82
Inter,Serie A,54,15,411,52.8,86.5,12.4,6.81
Napoli,Serie A,45,17.6,372,55.6,87.5,10.6,6.81
 RB Leipzig,Bundesliga,37,15.6,370,56.1,82.4,19.9,6.81
